{'symbol': 'TCEHY', 'Datum': '2021-08-24 17:40:59', 'price': '62,00', 'change': '+4,85 (+8,50%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 17:46:09', 'price': '61,95', 'change': '+4,81 (+8,42%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 17:51:18', 'price': '61,94', 'change': '+4,80 (+8,40%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 17:56:28', 'price': '61,84', 'change': '+4,70 (+8,23%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:01:38', 'price': '61,78', 'change': '+4,64 (+8,12%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:06:47', 'price': '61,83', 'change': '+4,69 (+8,21%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:11:56', 'price': '61,83', 'change': '+4,69 (+8,21%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:17:06', 'price': '61,82', 'change': '+4,68 (+8,19%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:22:15', 'price': '61,78', 'change': '+4,64 (+8,11%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:27:25', 'price': '61,90', 'change': '+4,76 (+8,33%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:32:35', 'price': '61,87', 'change': '+4,73 (+8,27%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:37:44', 'price': '61,85', 'change': '+4,71 (+8,24%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:42:55', 'price': '61,85', 'change': '+4,71 (+8,24%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:48:04', 'price': '61,87', 'change': '+4,73 (+8,27%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:53:14', 'price': '61,79', 'change': '+4,65 (+8,14%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 18:58:23', 'price': '61,84', 'change': '+4,70 (+8,23%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:03:34', 'price': '61,84', 'change': '+4,69 (+8,22%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:08:44', 'price': '61,84', 'change': '+4,70 (+8,23%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:13:53', 'price': '61,84', 'change': '+4,70 (+8,23%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:19:03', 'price': '61,94', 'change': '+4,80 (+8,39%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:24:12', 'price': '61,92', 'change': '+4,78 (+8,37%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:29:22', 'price': '61,87', 'change': '+4,73 (+8,28%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:34:31', 'price': '61,90', 'change': '+4,76 (+8,33%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:39:41', 'price': '61,72', 'change': '+4,58 (+8,02%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:44:50', 'price': '61,80', 'change': '+4,66 (+8,15%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:50:00', 'price': '61,85', 'change': '+4,71 (+8,24%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 19:55:09', 'price': '61,94', 'change': '+4,80 (+8,40%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:00:20', 'price': '61,97', 'change': '+4,83 (+8,44%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:05:30', 'price': '61,95', 'change': '+4,81 (+8,42%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:10:39', 'price': '61,95', 'change': '+4,81 (+8,42%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:15:50', 'price': '62,03', 'change': '+4,89 (+8,56%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:20:59', 'price': '62,05', 'change': '+4,90 (+8,58%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:26:09', 'price': '62,04', 'change': '+4,90 (+8,58%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:31:19', 'price': '62,01', 'change': '+4,87 (+8,52%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:36:29', 'price': '61,98', 'change': '+4,84 (+8,47%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:41:39', 'price': '62,01', 'change': '+4,87 (+8,52%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:46:48', 'price': '61,93', 'change': '+4,79 (+8,38%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:51:58', 'price': '61,95', 'change': '+4,81 (+8,42%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 20:57:08', 'price': '61,95', 'change': '+4,81 (+8,42%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:02:17', 'price': '61,90', 'change': '+4,76 (+8,33%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:07:27', 'price': '61,88', 'change': '+4,74 (+8,30%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:12:37', 'price': '61,92', 'change': '+4,78 (+8,36%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:17:46', 'price': '62,00', 'change': '+4,86 (+8,51%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:22:56', 'price': '62,07', 'change': '+4,93 (+8,63%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:28:05', 'price': '62,05', 'change': '+4,90 (+8,58%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:33:16', 'price': '62,30', 'change': '+5,16 (+9,03%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:38:25', 'price': '62,36', 'change': '+5,22 (+9,14%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:43:37', 'price': '62,36', 'change': '+5,22 (+9,14%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:48:46', 'price': '62,41', 'change': '+5,27 (+9,22%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:53:56', 'price': '62,36', 'change': '+5,22 (+9,14%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:59:06', 'price': '62,56', 'change': '+5,42 (+9,48%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:04:17', 'price': '62,61', 'change': '+5,47 (+9,56%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:09:28', 'price': '62,44', 'change': '+5,30 (+9,27%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:14:37', 'price': '62,58', 'change': '+5,44 (+9,52%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:19:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:24:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:30:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:35:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:40:26', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:45:36', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:50:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:55:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:01:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:06:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:11:24', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:16:34', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
