,Nr,Name,Datum,Preis,Aenderung,AenderungPro
0,1,AMZN,2021-10-27 08:16:09,3376.07,55.7,1.68
1,2,AAPL,2021-10-27 08:16:10,149.32,0.68,0.46
2,3,MSFT,2021-10-27 08:16:10,310.11,1.98,0.64
3,4,BABA,2021-10-27 08:16:11,169.99,-6.18,-3.51
4,5,TCEHY,2021-10-27 08:16:12,62.78,-2.26,-3.47
5,6,BTC-USD,2021-10-27 08:16:13,60771.26,-1513.71,-2.43
6,7,ETH-USD,2021-10-27 08:16:13,4265.58,74.69,1.78
7,8,AMZN,2021-10-27 08:21:14,3376.07,55.7,1.68
8,9,AAPL,2021-10-27 08:21:15,149.32,0.68,0.46
9,10,MSFT,2021-10-27 08:21:15,310.11,1.98,0.64
10,11,BABA,2021-10-27 08:21:16,169.99,-6.18,-3.51
11,12,TCEHY,2021-10-27 08:21:17,62.78,-2.26,-3.47
12,13,BTC-USD,2021-10-27 08:21:18,60733.38,-1514.72,-2.43
13,14,ETH-USD,2021-10-27 08:21:18,4251.89,68.53,1.64
14,15,AMZN,2021-10-27 08:26:19,3376.07,55.7,1.68
15,16,AAPL,2021-10-27 08:26:20,149.32,0.68,0.46
16,17,MSFT,2021-10-27 08:26:21,310.11,1.98,0.64
17,18,BABA,2021-10-27 08:26:22,169.99,-6.18,-3.51
18,19,TCEHY,2021-10-27 08:26:22,62.78,-2.26,-3.47
19,20,BTC-USD,2021-10-27 08:26:23,60817.25,-1566.07,-2.51
20,21,ETH-USD,2021-10-27 08:26:24,4253.02,62.49,1.49
21,22,AMZN,2021-10-27 08:31:25,3376.07,55.7,1.68
22,23,AAPL,2021-10-27 08:31:25,149.32,0.68,0.46
23,24,MSFT,2021-10-27 08:31:26,310.11,1.98,0.64
24,25,BABA,2021-10-27 08:31:27,169.99,-6.18,-3.51
25,26,TCEHY,2021-10-27 08:31:28,62.78,-2.26,-3.47
26,27,BTC-USD,2021-10-27 08:31:28,60903.6,-1576.14,-2.52
27,28,ETH-USD,2021-10-27 08:31:29,4256.98,57.5,1.37
28,29,AMZN,2021-10-27 08:36:30,3376.07,55.7,1.68
29,30,AAPL,2021-10-27 08:36:31,149.32,0.68,0.46
30,31,MSFT,2021-10-27 08:36:31,310.11,1.98,0.64
31,32,BABA,2021-10-27 08:36:32,169.99,-6.18,-3.51
32,33,TCEHY,2021-10-27 08:36:33,62.78,-2.26,-3.47
33,34,BTC-USD,2021-10-27 08:36:34,60953.39,-1531.34,-2.45
34,35,ETH-USD,2021-10-27 08:36:34,4260.76,60.44,1.44
35,36,AMZN,2021-10-27 08:41:35,3376.07,55.7,1.68
36,37,AAPL,2021-10-27 08:41:36,149.32,0.68,0.46
37,38,MSFT,2021-10-27 08:41:37,310.11,1.98,0.64
38,39,BABA,2021-10-27 08:41:38,169.99,-6.18,-3.51
39,40,TCEHY,2021-10-27 08:41:38,62.78,-2.26,-3.47
40,41,BTC-USD,2021-10-27 08:41:39,60829.13,-1705.43,-2.73
41,42,ETH-USD,2021-10-27 08:41:40,4254.2,51.68,1.23
42,43,AMZN,2021-10-27 08:46:41,3376.07,55.7,1.68
43,44,AAPL,2021-10-27 08:46:41,149.32,0.68,0.46
44,45,MSFT,2021-10-27 08:46:42,310.11,1.98,0.64
45,46,BABA,2021-10-27 08:46:43,169.99,-6.18,-3.51
46,47,TCEHY,2021-10-27 08:46:43,62.78,-2.26,-3.47
47,48,BTC-USD,2021-10-27 08:46:44,60709.86,-1843.34,-2.95
48,49,ETH-USD,2021-10-27 08:46:45,4239.26,34.76,0.83
49,50,AMZN,2021-10-27 08:51:46,3376.07,55.7,1.68
50,51,AAPL,2021-10-27 08:51:47,149.32,0.68,0.46
51,52,MSFT,2021-10-27 08:51:47,310.11,1.98,0.64
52,53,BABA,2021-10-27 08:51:48,169.99,-6.18,-3.51
53,54,TCEHY,2021-10-27 08:51:49,62.78,-2.26,-3.47
54,55,BTC-USD,2021-10-27 08:51:50,60776.68,-1670.7,-2.68
55,56,ETH-USD,2021-10-27 08:51:50,4240.28,42.11,1.0
56,57,AMZN,2021-10-27 08:56:51,3376.07,55.7,1.68
57,58,AAPL,2021-10-27 08:56:52,149.32,0.68,0.46
58,59,MSFT,2021-10-27 08:56:53,310.11,1.98,0.64
59,60,BABA,2021-10-27 08:56:53,169.99,-6.18,-3.51
60,61,TCEHY,2021-10-27 08:56:54,62.78,-2.26,-3.47
61,62,BTC-USD,2021-10-27 08:56:55,60785.72,-1661.3,-2.66
62,63,ETH-USD,2021-10-27 08:56:56,4244.27,47.43,1.13
63,64,AMZN,2021-10-27 09:01:57,3376.07,55.7,1.68
64,65,AAPL,2021-10-27 09:01:58,149.32,0.68,0.46
65,66,MSFT,2021-10-27 09:01:58,310.11,1.98,0.64
66,67,BABA,2021-10-27 09:01:59,169.99,-6.18,-3.51
67,68,TCEHY,2021-10-27 09:02:00,62.78,-2.26,-3.47
68,69,BTC-USD,2021-10-27 09:02:01,60727.7,-1654.71,-2.65
69,70,ETH-USD,2021-10-27 09:02:02,4242.56,50.93,1.21
70,71,AMZN,2021-10-27 09:07:03,3376.07,55.7,1.68
71,72,AAPL,2021-10-27 09:07:04,149.32,0.68,0.46
72,73,MSFT,2021-10-27 09:07:04,310.11,1.98,0.64
73,74,BABA,2021-10-27 09:07:05,169.99,-6.18,-3.51
74,75,TCEHY,2021-10-27 09:07:06,62.78,-2.26,-3.47
75,76,BTC-USD,2021-10-27 09:07:06,60661.53,-1672.82,-2.68
76,77,ETH-USD,2021-10-27 09:07:07,4230.96,40.46,0.97
77,78,AMZN,2021-10-27 09:12:08,3376.07,55.7,1.68
78,79,AAPL,2021-10-27 09:12:09,149.32,0.68,0.46
79,80,MSFT,2021-10-27 09:12:10,310.11,1.98,0.64
80,81,BABA,2021-10-27 09:12:10,169.99,-6.18,-3.51
81,82,TCEHY,2021-10-27 09:12:11,62.78,-2.26,-3.47
82,83,BTC-USD,2021-10-27 09:12:12,60837.99,-1510.06,-2.42
83,84,ETH-USD,2021-10-27 09:12:13,4235.74,44.47,1.06
84,85,AMZN,2021-10-27 09:17:14,3376.07,55.7,1.68
85,86,AAPL,2021-10-27 09:17:15,149.32,0.68,0.46
86,87,MSFT,2021-10-27 09:17:16,310.11,1.98,0.64
87,88,BABA,2021-10-27 09:17:17,169.99,-6.18,-3.51
88,89,TCEHY,2021-10-27 09:17:18,62.78,-2.26,-3.47
89,90,BTC-USD,2021-10-27 09:17:18,60746.73,-1526.93,-2.45
90,91,ETH-USD,2021-10-27 09:17:19,4229.67,45.53,1.09
91,92,AMZN,2021-10-27 09:22:20,3376.07,55.7,1.68
92,93,AAPL,2021-10-27 09:22:21,149.32,0.68,0.46
93,94,MSFT,2021-10-27 09:22:22,310.11,1.98,0.64
94,95,BABA,2021-10-27 09:22:23,169.99,-6.18,-3.51
95,96,TCEHY,2021-10-27 09:22:23,62.78,-2.26,-3.47
96,97,BTC-USD,2021-10-27 09:22:24,60719.54,-1553.25,-2.49
97,98,ETH-USD,2021-10-27 09:22:25,4229.34,47.05,1.13
98,99,AMZN,2021-10-27 09:27:26,3376.07,55.7,1.68
99,100,AAPL,2021-10-27 09:27:26,149.32,0.68,0.46
100,101,MSFT,2021-10-27 09:27:27,310.11,1.98,0.64
101,102,BABA,2021-10-27 09:27:28,169.99,-6.18,-3.51
102,103,TCEHY,2021-10-27 09:27:29,62.78,-2.26,-3.47
103,104,BTC-USD,2021-10-27 09:27:29,60511.98,-1811.07,-2.91
104,105,ETH-USD,2021-10-27 09:27:30,4217.56,30.21,0.72
105,106,AMZN,2021-10-27 09:32:31,3376.07,55.7,1.68
106,107,AAPL,2021-10-27 09:32:32,149.32,0.68,0.46
107,108,MSFT,2021-10-27 09:32:33,310.11,1.98,0.64
108,109,BABA,2021-10-27 09:32:34,169.99,-6.18,-3.51
109,110,TCEHY,2021-10-27 09:32:35,62.78,-2.26,-3.47
110,111,BTC-USD,2021-10-27 09:32:35,60322.51,-2004.9,-3.22
111,112,ETH-USD,2021-10-27 09:32:36,4205.45,14.94,0.36
112,113,AMZN,2021-10-27 09:37:37,3376.07,55.7,1.68
113,114,AAPL,2021-10-27 09:37:38,149.32,0.68,0.46
114,115,MSFT,2021-10-27 09:37:39,310.11,1.98,0.64
115,116,BABA,2021-10-27 09:37:39,169.99,-6.18,-3.51
116,117,TCEHY,2021-10-27 09:37:40,62.78,-2.26,-3.47
117,118,BTC-USD,2021-10-27 09:37:41,60221.52,-2165.14,-3.47
118,119,ETH-USD,2021-10-27 09:37:41,4187.18,-7.89,-0.19
119,120,AMZN,2021-10-27 09:42:42,3376.07,55.7,1.68
120,121,AAPL,2021-10-27 09:42:43,149.32,0.68,0.46
121,122,MSFT,2021-10-27 09:42:44,310.11,1.98,0.64
122,123,BABA,2021-10-27 09:42:45,169.99,-6.18,-3.51
123,124,TCEHY,2021-10-27 09:42:46,62.78,-2.26,-3.47
124,125,BTC-USD,2021-10-27 09:42:46,60184.53,-2217.27,-3.55
125,126,ETH-USD,2021-10-27 09:42:47,4176.78,-17.18,-0.41
126,127,AMZN,2021-10-27 09:47:48,3376.07,55.7,1.68
127,128,AAPL,2021-10-27 09:47:49,149.32,0.68,0.46
128,129,MSFT,2021-10-27 09:47:49,310.11,1.98,0.64
129,130,BABA,2021-10-27 09:47:50,169.99,-6.18,-3.51
130,131,TCEHY,2021-10-27 09:47:51,62.78,-2.26,-3.47
131,132,BTC-USD,2021-10-27 09:47:52,60140.13,-2343.87,-3.75
132,133,ETH-USD,2021-10-27 09:47:53,4172.74,-24.59,-0.59
133,134,AMZN,2021-10-27 09:52:53,3376.07,55.7,1.68
134,135,AAPL,2021-10-27 09:52:54,149.32,0.68,0.46
135,136,MSFT,2021-10-27 09:52:55,310.11,1.98,0.64
136,137,BABA,2021-10-27 09:52:56,169.99,-6.18,-3.51
137,138,TCEHY,2021-10-27 09:52:56,62.78,-2.26,-3.47
138,139,BTC-USD,2021-10-27 09:52:57,60074.75,-2355.75,-3.77
139,140,ETH-USD,2021-10-27 09:52:58,4161.17,-35.65,-0.85
140,141,AMZN,2021-10-27 09:57:59,3376.07,55.7,1.68
141,142,AAPL,2021-10-27 09:58:00,149.32,0.68,0.46
142,143,MSFT,2021-10-27 09:58:01,310.11,1.98,0.64
143,144,BABA,2021-10-27 09:58:01,169.99,-6.18,-3.51
144,145,TCEHY,2021-10-27 09:58:02,62.78,-2.26,-3.47
145,146,BTC-USD,2021-10-27 09:58:03,60103.8,-2366.18,-3.79
146,147,ETH-USD,2021-10-27 09:58:03,4148.41,-52.99,-1.26
147,148,AMZN,2021-10-27 10:03:04,3376.07,55.7,1.68
148,149,AAPL,2021-10-27 10:03:05,149.32,0.68,0.46
149,150,MSFT,2021-10-27 10:03:06,310.11,1.98,0.64
150,151,BABA,2021-10-27 10:03:07,169.99,-6.18,-3.51
151,152,TCEHY,2021-10-27 10:03:08,62.78,-2.26,-3.47
152,153,BTC-USD,2021-10-27 10:03:08,59935.41,-2519.74,-4.03
153,154,ETH-USD,2021-10-27 10:03:09,4126.7,-75.04,-1.79
154,155,AMZN,2021-10-27 10:08:10,3376.07,55.7,1.68
155,156,AAPL,2021-10-27 10:08:11,149.32,0.68,0.46
156,157,MSFT,2021-10-27 10:08:12,310.11,1.98,0.64
157,158,BABA,2021-10-27 10:08:12,169.99,-6.18,-3.51
158,159,TCEHY,2021-10-27 10:08:13,62.78,-2.26,-3.47
159,160,BTC-USD,2021-10-27 10:08:14,59005.1,-3697.62,-5.9
160,161,ETH-USD,2021-10-27 10:08:15,4043.54,-168.45,-4.0
161,162,AMZN,2021-10-27 10:13:16,3376.07,55.7,1.68
162,163,AAPL,2021-10-27 10:13:16,149.32,0.68,0.46
163,164,MSFT,2021-10-27 10:13:17,310.11,1.98,0.64
164,165,BABA,2021-10-27 10:13:18,169.99,-6.18,-3.51
165,166,TCEHY,2021-10-27 10:13:19,62.78,-2.26,-3.47
166,167,BTC-USD,2021-10-27 10:13:20,58718.49,-4158.58,-6.61
167,168,ETH-USD,2021-10-27 10:13:20,4005.67,-208.46,-4.95
168,169,AMZN,2021-10-27 10:18:21,3376.07,55.7,1.68
169,170,AAPL,2021-10-27 10:18:22,149.32,0.68,0.46
170,171,MSFT,2021-10-27 10:18:23,310.11,1.98,0.64
171,172,BABA,2021-10-27 10:18:23,169.99,-6.18,-3.51
172,173,TCEHY,2021-10-27 10:18:24,62.78,-2.26,-3.47
173,174,BTC-USD,2021-10-27 10:18:25,59018.48,-4030.21,-6.39
174,175,ETH-USD,2021-10-27 10:18:26,4041.54,-184.37,-4.36
175,176,AMZN,2021-10-27 10:23:26,3376.07,55.7,1.68
176,177,AAPL,2021-10-27 10:23:27,149.32,0.68,0.46
177,178,MSFT,2021-10-27 10:23:28,310.11,1.98,0.64
178,179,BABA,2021-10-27 10:23:29,169.99,-6.18,-3.51
179,180,TCEHY,2021-10-27 10:23:30,62.78,-2.26,-3.47
180,181,BTC-USD,2021-10-27 10:23:30,58870.15,-4073.35,-6.47
181,182,ETH-USD,2021-10-27 10:23:31,4024.17,-197.16,-4.67
182,183,AMZN,2021-10-27 10:28:32,3376.07,55.7,1.68
183,184,AAPL,2021-10-27 10:28:33,149.32,0.68,0.46
184,185,MSFT,2021-10-27 10:28:33,310.11,1.98,0.64
185,186,BABA,2021-10-27 10:28:34,169.99,-6.18,-3.51
186,187,TCEHY,2021-10-27 10:28:35,62.78,-2.26,-3.47
187,188,BTC-USD,2021-10-27 10:28:36,59075.34,-3884.07,-6.17
188,189,ETH-USD,2021-10-27 10:28:36,4039.0,-183.11,-4.34
189,190,AMZN,2021-10-27 10:33:37,3376.07,55.7,1.68
190,191,AAPL,2021-10-27 10:33:38,149.32,0.68,0.46
191,192,MSFT,2021-10-27 10:33:39,310.11,1.98,0.64
192,193,BABA,2021-10-27 10:33:40,169.99,-6.18,-3.51
193,194,TCEHY,2021-10-27 10:33:41,62.78,-2.26,-3.47
194,195,BTC-USD,2021-10-27 10:33:42,59001.89,-4004.38,-6.36
195,196,ETH-USD,2021-10-27 10:33:43,4038.93,-193.31,-4.57
196,197,AMZN,2021-10-27 10:38:44,3376.07,55.7,1.68
197,198,AAPL,2021-10-27 10:38:44,149.32,0.68,0.46
198,199,MSFT,2021-10-27 10:38:45,310.11,1.98,0.64
199,200,BABA,2021-10-27 10:38:46,169.99,-6.18,-3.51
200,201,TCEHY,2021-10-27 10:38:47,62.78,-2.26,-3.47
201,202,BTC-USD,2021-10-27 10:38:47,59387.29,-3463.54,-5.51
202,203,ETH-USD,2021-10-27 10:38:48,4058.85,-159.47,-3.78
203,204,AMZN,2021-10-27 10:43:49,3376.07,55.7,1.68
204,205,AAPL,2021-10-27 10:43:50,149.32,0.68,0.46
205,206,MSFT,2021-10-27 10:43:52,310.11,1.98,0.64
206,207,BABA,2021-10-27 10:43:53,169.99,-6.18,-3.51
207,208,TCEHY,2021-10-27 10:43:53,62.78,-2.26,-3.47
208,209,BTC-USD,2021-10-27 10:43:54,59026.57,-3866.75,-6.15
209,210,ETH-USD,2021-10-27 10:43:55,4025.8,-195.13,-4.62
210,211,AMZN,2021-10-27 10:48:56,3376.07,55.7,1.68
211,212,AAPL,2021-10-27 10:48:57,149.32,0.68,0.46
212,213,MSFT,2021-10-27 10:48:58,310.11,1.98,0.64
213,214,BABA,2021-10-27 10:48:58,169.99,-6.18,-3.51
214,215,TCEHY,2021-10-27 10:48:59,62.78,-2.26,-3.47
215,216,BTC-USD,2021-10-27 10:49:00,58916.95,-4019.45,-6.39
216,217,ETH-USD,2021-10-27 10:49:00,4023.58,-198.79,-4.71
217,218,AMZN,2021-10-27 10:54:01,3376.07,55.7,1.68
218,219,AAPL,2021-10-27 10:54:02,149.32,0.68,0.46
219,220,MSFT,2021-10-27 10:54:03,310.11,1.98,0.64
220,221,BABA,2021-10-27 10:54:04,169.99,-6.18,-3.51
221,222,TCEHY,2021-10-27 10:54:05,62.78,-2.26,-3.47
222,223,BTC-USD,2021-10-27 10:54:05,59044.34,-3937.45,-6.25
223,224,ETH-USD,2021-10-27 10:54:06,4024.14,-197.5,-4.68
224,225,AMZN,2021-10-27 10:59:07,3376.07,55.7,1.68
225,226,AAPL,2021-10-27 10:59:07,149.32,0.68,0.46
226,227,MSFT,2021-10-27 10:59:08,310.11,1.98,0.64
227,228,BABA,2021-10-27 10:59:09,169.99,-6.18,-3.51
228,229,TCEHY,2021-10-27 10:59:10,62.78,-2.26,-3.47
229,230,BTC-USD,2021-10-27 10:59:10,59163.68,-3732.65,-5.93
230,231,ETH-USD,2021-10-27 10:59:11,4041.58,-174.66,-4.14
231,232,AMZN,2021-10-27 11:04:12,3376.07,55.7,1.68
232,233,AAPL,2021-10-27 11:04:13,149.32,0.68,0.46
233,234,MSFT,2021-10-27 11:04:14,310.11,1.98,0.64
234,235,BABA,2021-10-27 11:04:15,169.99,-6.18,-3.51
235,236,TCEHY,2021-10-27 11:04:16,62.78,-2.26,-3.47
236,237,BTC-USD,2021-10-27 11:04:17,59162.83,-3715.21,-5.91
237,238,ETH-USD,2021-10-27 11:04:17,4032.49,-184.52,-4.38
238,239,AMZN,2021-10-27 11:09:18,3376.07,55.7,1.68
239,240,AAPL,2021-10-27 11:09:19,149.32,0.68,0.46
240,241,MSFT,2021-10-27 11:09:20,310.11,1.98,0.64
241,242,BABA,2021-10-27 11:09:21,169.99,-6.18,-3.51
242,243,TCEHY,2021-10-27 11:09:22,62.78,-2.26,-3.47
243,244,BTC-USD,2021-10-27 11:09:22,59050.66,-3792.01,-6.03
244,245,ETH-USD,2021-10-27 11:09:23,4023.92,-187.2,-4.45
245,246,AMZN,2021-10-27 11:14:24,3376.07,55.7,1.68
246,247,AAPL,2021-10-27 11:14:25,149.32,0.68,0.46
247,248,MSFT,2021-10-27 11:14:26,310.11,1.98,0.64
248,249,BABA,2021-10-27 11:14:26,169.99,-6.18,-3.51
249,250,TCEHY,2021-10-27 11:14:27,62.78,-2.26,-3.47
250,251,BTC-USD,2021-10-27 11:14:28,59040.98,-3726.39,-5.94
251,252,ETH-USD,2021-10-27 11:14:29,4016.35,-189.69,-4.51
252,253,AMZN,2021-10-27 11:19:30,3376.07,55.7,1.68
253,254,AAPL,2021-10-27 11:19:30,149.32,0.68,0.46
254,255,MSFT,2021-10-27 11:19:31,310.11,1.98,0.64
255,256,BABA,2021-10-27 11:19:32,169.99,-6.18,-3.51
256,257,TCEHY,2021-10-27 11:19:33,62.78,-2.26,-3.47
257,258,BTC-USD,2021-10-27 11:19:33,58935.38,-3793.38,-6.05
258,259,ETH-USD,2021-10-27 11:19:34,4013.01,-192.29,-4.57
259,260,AMZN,2021-10-27 11:24:35,3376.07,55.7,1.68
260,261,AAPL,2021-10-27 11:24:36,149.32,0.68,0.46
261,262,MSFT,2021-10-27 11:24:37,310.11,1.98,0.64
262,263,BABA,2021-10-27 11:24:37,169.99,-6.18,-3.51
263,264,TCEHY,2021-10-27 11:24:38,62.78,-2.26,-3.47
264,265,BTC-USD,2021-10-27 11:24:39,58883.44,-3867.36,-6.16
265,266,ETH-USD,2021-10-27 11:24:39,4009.21,-200.42,-4.76
266,267,AMZN,2021-10-27 11:29:40,3376.07,55.7,1.68
267,268,AAPL,2021-10-27 11:29:41,149.32,0.68,0.46
268,269,MSFT,2021-10-27 11:29:42,310.11,1.98,0.64
269,270,BABA,2021-10-27 11:29:43,169.99,-6.18,-3.51
270,271,TCEHY,2021-10-27 11:29:44,62.78,-2.26,-3.47
271,272,BTC-USD,2021-10-27 11:29:44,58766.58,-4072.73,-6.48
272,273,ETH-USD,2021-10-27 11:29:45,4000.76,-215.31,-5.11
273,274,AMZN,2021-10-27 11:34:46,3376.07,55.7,1.68
274,275,AAPL,2021-10-27 11:34:47,149.32,0.68,0.46
275,276,MSFT,2021-10-27 11:34:48,310.11,1.98,0.64
276,277,BABA,2021-10-27 11:34:49,169.99,-6.18,-3.51
277,278,TCEHY,2021-10-27 11:34:50,62.78,-2.26,-3.47
278,279,BTC-USD,2021-10-27 11:34:50,58850.09,-3872.45,-6.17
279,280,ETH-USD,2021-10-27 11:34:51,4004.5,-205.82,-4.89
280,281,AMZN,2021-10-27 11:39:52,3376.07,55.7,1.68
281,282,AAPL,2021-10-27 11:39:52,149.32,0.68,0.46
282,283,MSFT,2021-10-27 11:39:53,310.11,1.98,0.64
283,284,BABA,2021-10-27 11:39:54,169.99,-6.18,-3.51
284,285,TCEHY,2021-10-27 11:39:55,62.78,-2.26,-3.47
285,286,BTC-USD,2021-10-27 11:39:56,58928.74,-3740.07,-5.97
286,287,ETH-USD,2021-10-27 11:39:56,4013.19,-195.22,-4.64
287,288,AMZN,2021-10-27 11:44:57,3376.07,55.7,1.68
288,289,AAPL,2021-10-27 11:44:58,149.32,0.68,0.46
289,290,MSFT,2021-10-27 11:44:59,310.11,1.98,0.64
290,291,BABA,2021-10-27 11:44:59,169.99,-6.18,-3.51
291,292,TCEHY,2021-10-27 11:45:00,62.78,-2.26,-3.47
292,293,BTC-USD,2021-10-27 11:45:01,59045.05,-3642.57,-5.81
293,294,ETH-USD,2021-10-27 11:45:01,4027.06,-182.54,-4.34
294,295,AMZN,2021-10-27 11:50:02,3376.07,55.7,1.68
295,296,AAPL,2021-10-27 11:50:03,149.32,0.68,0.46
296,297,MSFT,2021-10-27 11:50:04,310.11,1.98,0.64
297,298,BABA,2021-10-27 11:50:05,169.99,-6.18,-3.51
298,299,TCEHY,2021-10-27 11:50:06,62.78,-2.26,-3.47
299,300,BTC-USD,2021-10-27 11:50:06,58951.39,-3701.06,-5.91
300,301,ETH-USD,2021-10-27 11:50:07,4021.95,-186.35,-4.43
301,302,AMZN,2021-10-27 11:55:08,3376.07,55.7,1.68
302,303,AAPL,2021-10-27 11:55:09,149.32,0.68,0.46
303,304,MSFT,2021-10-27 11:55:09,310.11,1.98,0.64
304,305,BABA,2021-10-27 11:55:10,169.99,-6.18,-3.51
305,306,TCEHY,2021-10-27 11:55:11,62.78,-2.26,-3.47
306,307,BTC-USD,2021-10-27 11:55:12,58864.19,-3812.78,-6.08
307,308,ETH-USD,2021-10-27 11:55:13,4014.61,-192.5,-4.58
308,309,AMZN,2021-10-27 12:00:14,3376.07,55.7,1.68
309,310,AAPL,2021-10-27 12:00:14,149.32,0.68,0.46
310,311,MSFT,2021-10-27 12:00:15,310.11,1.98,0.64
311,312,BABA,2021-10-27 12:00:16,169.99,-6.18,-3.51
312,313,TCEHY,2021-10-27 12:00:17,62.78,-2.26,-3.47
313,314,BTC-USD,2021-10-27 12:00:18,58936.27,-3760.89,-6.0
314,315,ETH-USD,2021-10-27 12:00:19,4017.98,-189.91,-4.51
315,316,AMZN,2021-10-27 12:05:20,3376.07,55.7,1.68
316,317,AAPL,2021-10-27 12:05:20,149.32,0.68,0.46
317,318,MSFT,2021-10-27 12:05:21,310.11,1.98,0.64
318,319,BABA,2021-10-27 12:05:22,169.99,-6.18,-3.51
319,320,TCEHY,2021-10-27 12:05:23,62.78,-2.26,-3.47
320,321,BTC-USD,2021-10-27 12:05:24,58833.79,-3850.5,-6.14
321,322,ETH-USD,2021-10-27 12:05:25,4007.35,-201.64,-4.79
322,323,AMZN,2021-10-27 12:10:26,3376.07,55.7,1.68
323,324,AAPL,2021-10-27 12:10:26,149.32,0.68,0.46
324,325,MSFT,2021-10-27 12:10:27,310.11,1.98,0.64
325,326,BABA,2021-10-27 12:10:28,169.99,-6.18,-3.51
326,327,TCEHY,2021-10-27 12:10:29,62.78,-2.26,-3.47
327,328,BTC-USD,2021-10-27 12:10:29,58881.82,-3776.77,-6.03
328,329,ETH-USD,2021-10-27 12:10:30,4009.38,-195.69,-4.65
329,330,AMZN,2021-10-27 12:15:31,3376.07,55.7,1.68
330,331,AAPL,2021-10-27 12:15:32,149.32,0.68,0.46
331,332,MSFT,2021-10-27 12:15:32,310.11,1.98,0.64
332,333,BABA,2021-10-27 12:15:33,169.99,-6.18,-3.51
333,334,TCEHY,2021-10-27 12:15:34,62.78,-2.26,-3.47
334,335,BTC-USD,2021-10-27 12:15:35,58794.09,-3849.89,-6.15
335,336,ETH-USD,2021-10-27 12:15:36,4002.66,-200.4,-4.77
336,337,AMZN,2021-10-27 12:20:37,3376.07,55.7,1.68
337,338,AAPL,2021-10-27 12:20:37,149.32,0.68,0.46
338,339,MSFT,2021-10-27 12:20:38,310.11,1.98,0.64
339,340,BABA,2021-10-27 12:20:39,169.99,-6.18,-3.51
340,341,TCEHY,2021-10-27 12:20:40,62.78,-2.26,-3.47
341,342,BTC-USD,2021-10-27 12:20:41,58757.35,-3938.57,-6.28
342,343,ETH-USD,2021-10-27 12:20:41,3998.67,-207.63,-4.94
